N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI)
-,20,20,0.2953417539596558,0.03865029847198163,0.3198785901069641,0.10542230943706055,0.21347686648368835,0.07198637908006351
-,20,200,0.29491773843765257,0.03863874786913516,0.3006729602813721,0.055440382812915516,0.1999470353126526,0.038110055605750266
-,20,2000,0.2955225795507431,0.03829659436494661,0.28791235089302064,0.04682107353012479,0.208501136302948,0.028205374731898474
-,200,20,0.29477387070655825,0.03829836220566137,0.32039514780044553,0.05534995354074234,0.28915868401527406,0.052811381103516845
-,200,200,0.2943053632974625,0.038080711612732875,0.31300302743911745,0.05473165500186872,0.29355200529098513,0.04918334887971721
-,200,2000,0.29467942714691164,0.03788936827840399,0.2893717288970947,0.03819613025626468,0.26673307418823244,0.03830117761915007
-,2000,20,0.2944371193647385,0.03849276912582152,0.2193221092224121,0.11336813101185245,0.21843846440315245,0.11115164287286007
-,2000,200,0.294507098197937,0.038355918259799525,0.30044322907924653,0.04663076514174107,0.2895983517169952,0.0493816300202025
-,2000,2000,0.29429227113723755,0.03802003541786701,0.2994311571121216,0.05066256248285765,0.2931272327899933,0.050088668922830204
